X	Y
0.0116501	0.8471271
0.0116501	0.7109837
0.0116501	0.5704561
0.0116501	0.6646822
0.0116501	0.6442423
0.0116501	0.7944938
0.0083934	0.8226485
0.0083934	0.9599897
0.0083934	0.8812963
0.0083934	0.8269830
0.0083934	0.6383705
0.0083934	0.8042786
0.0038642	0.6914501
0.0038642	0.6689518
0.0038642	0.7014954
0.0038642	0.5989917
0.0038642	0.7021473
0.0038642	0.7225007
0.0000000	0.6580494
0.0000000	0.6842249
0.0000000	1.0183316
0.0000000	0.7954077
0.0000000	0.7310036
0.0000000	0.6461871
